RunID,Tests,Dead_Locks,Progs_Hung,TestGen_Hung,NH_Depth,NH_Density,Nodes_Parsed,Nodes_Shortlisted,Duplicates,Skipped,Time_Stamp,Scan_Files,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_075718,2,1,1,0,3,3,72,2,6,64,2017.12.10-07.58.16,5;1.4.2.10.NewLst;1.4.2.NewLst;1.4.2_04.NewerLst;1.4.2_04.NewLst;1.4.2_12.NewLst;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_075924,13,1,1,0,20,20,72,13,36,23,2017.12.10-08.04.16,5;1.4.2.10.NewLst;1.4.2.NewLst;1.4.2_04.NewerLst;1.4.2_04.NewLst;1.4.2_12.NewLst;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_090830,23,2,2,1,100,100,72,23,49,0,2017.12.10-09.14.55,5;1.4.2.10.NewLst;1.4.2.NewLst;1.4.2_04.NewerLst;1.4.2_04.NewLst;1.4.2_12.NewLst;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_100634,3,2,2,1,3,3,54,3,3,48,2017.12.10-10.08.14,3;1.5.0.NewerLst;1.5.0.NewLst;1.5.0_08.NewLst;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_101051,14,2,2,1,20,20,54,14,27,13,2017.12.10-10.16.45,3;1.5.0.NewerLst;1.5.0.NewLst;1.5.0_08.NewLst;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_124102,4,0,0,0,3,3,144,4,9,131,2017.12.10-12.42.18,1;cycles.xml;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_124218,10,0,0,0,5,5,144,10,37,97,2017.12.10-12.46.07,1;cycles.xml;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_124607,13,1,1,1,10,10,144,13,39,92,2017.12.10-12.51.31,1;cycles.xml;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_223721,49,1,1,0,100,100,144,49,95,0,2017.12.10-22.48.46,1;cycles.xml;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_224846,3,0,0,0,3,3,227,3,2,222,2017.12.10-22.49.49,2;k26.xml;kkzb.xml;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_224949,10,0,0,0,10,3,227,10,10,207,2017.12.10-22.54.14,2;k26.xml;kkzb.xml;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_225414,10,1,1,1,20,3,227,10,10,207,2017.12.10-22.58.21,2;k26.xml;kkzb.xml;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_225821,53,4,4,4,20,20,227,53,29,145,2017.12.10-23.18.29,2;k26.xml;kkzb.xml;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_10_231829,171,6,6,3,100,100,227,171,56,0,2017.12.11-00.05.33,2;k26.xml;kkzb.xml;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_11_055158,5,0,0,0,10,3,2025,5,10,2010,2017.12.11-05.55.14,1;azb16;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_11_055515,5,1,1,1,20,3,2025,5,10,2010,2017.12.11-05.58.12,1;azb16;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_11_055813,104,4,4,4,20,20,2025,104,279,1642,2017.12.11-06.22.57,1;azb16;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_11_062257,451,11,11,7,100,100,2025,451,1574,0,2017.12.11-07.44.49,1;azb16;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_11_075655,21,0,0,0,10,3,2671,21,87,2563,2017.12.11-08.09.51,13;zb10;zb11;zb12;zb14;zb15;zb17;zb18;zb19;zb20;zb21;zb22;zbLast;zbTzZ;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_11_080952,21,1,1,1,20,3,2671,21,87,2563,2017.12.11-08.22.38,13;zb10;zb11;zb12;zb14;zb15;zb17;zb18;zb19;zb20;zb21;zb22;zbLast;zbTzZ;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_11_082239,367,28,28,27,20,20,2671,367,293,2011,2017.12.11-09.55.51,13;zb10;zb11;zb12;zb14;zb15;zb17;zb18;zb19;zb20;zb21;zb22;zbLast;zbTzZ;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2017_12_11_095551,1765,236,236,226,100,100,2671,1765,906,0,2017.12.11-16.36.57,13;zb10;zb11;zb12;zb14;zb15;zb17;zb18;zb19;zb20;zb21;zb22;zbLast;zbTzZ;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2018_01_01_210733,28,1,1,1,20,10,2025,28,51,1946,2018.01.01-21.17.17,1;azb16;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2018_01_01_212357,104,4,4,4,20,20,2025,104,279,1642,2018.01.01-21.48.38,1;azb16;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2018_01_01_214838,21,1,1,1,20,3,2671,21,87,2563,2018.01.01-22.01.55,13;zb10;zb11;zb12;zb14;zb15;zb17;zb18;zb19;zb20;zb21;zb22;zbLast;zbTzZ;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2018_01_02_080049,21,0,0,0,20,3,2671,21,87,2563,2018.01.02-08.14.04,13;zb10;zb11;zb12;zb14;zb15;zb17;zb18;zb19;zb20;zb21;zb22;zbLast;zbTzZ;RUN_2018_01_02_152837,65,1,1,1,20,20,363,65,4,294,2018.01.02-15.43.14,1;zb10;,,,,,,,,,,,,
RUN_2018_01_02_154314,44,8,8,8,20,20,114,44,4,66,2018.01.02-15.59.49,1;zb11;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2018_01_02_155950,39,13,13,13,20,20,98,39,4,55,2018.01.02-16.16.25,1;zb12;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2018_01_02_161626,42,15,15,15,20,20,143,42,6,95,2018.01.02-16.37.04,1;zb14;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2018_01_02_163704,37,13,13,13,20,20,108,37,5,66,2018.01.02-16.53.35,1;zb15;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2018_01_02_165335,92,13,13,13,20,20,612,92,8,512,2018.01.02-17.19.06,1;zb17;,,,,,,,,,,,,,,,,,,,,,,,,
RUN_2018_01_02_171906,85,3,3,3,20,20,421,85,11,325,2018.01.02-17.38.20,1;zb18;,,,,,,,,,,,,RUN_2018_01_02_184855,65,2,2,2,20,20,363,65,4,294,2018.01.02-19.03.33,1;zb10;
RUN_2018_01_02_184855,65,4,4,4,20,20,363,65,4,294,2018.01.02-19.17.39,1;zb10;,,,,,,,,,,,,,,,,,,,,,,,,RUN_2018_01_02_203659,39,1,1,1,20,20,98,39,4,55,2018.01.02-20.51.22,1;zb12;
